,tf,fid,nu1,nu2,A1,A2,B1,B2
33,0.34,0.9781288699492353,0.25955076993869375,0.2002532852109975,-972.5976540154236,-44.18223536735454,-388.32616522656764,-58733.34661431207
34,0.35000000000000003,0.9824291404545467,0.4911090357807927,0.5420876502793806,-31468.64970763524,-3123.4185055768776,-66257.55527324889,-28803.186223667628
35,0.36000000000000004,0.9559033602446833,0.26103439664090333,0.6749111062361726,-8367.867003779109,9366.804196499714,-1064.5570383443,37325.0222077196
36,0.37,0.9907780964340646,0.5184719295612432,0.7786889889476591,-24011.30692561173,-34760.98446481653,-57927.83315871166,-12834.428306566591
37,0.38,0.9819514608950617,0.930113436941326,0.5453135863406341,-47265.31113508873,-11696.853933491282,57945.49374618287,-56893.978039833215
38,0.39,0.992696932734354,0.7483852206121084,0.6328567136779144,-72743.87295168622,-4979.72311338837,-23767.39202604641,-59949.46511414516
39,0.4,0.9915561312766265,0.4691775620877614,0.9728531012227367,-8240.908007853399,-6447.1982784199445,-34100.335081028614,18649.271655449415
40,0.41000000000000003,0.9838003778503795,0.2915008753689139,0.4985648120807612,1427.0564593547388,-13105.842917849319,-14517.395325956219,3258.9718836201246
41,0.42000000000000004,0.9848350794652824,0.7597227349536888,0.4992387678140422,-18608.43625837618,-1054.258074565431,-91.5749307576996,-812.5571141384961
42,0.43,0.9848550528660523,0.9380078361595123,0.2527745309612799,-15266.442500847346,-6128.610234564999,1489.2951604111186,56.864369392493735
43,0.44,0.995420229641341,0.2303792213296777,0.6227548214680231,58644.05485252388,178.3027338624069,-68948.03041856318,-25313.180956145992
44,0.45,0.9950522545294571,0.062271129848713636,0.8681306386534479,163776.88182651222,-12005.934081825138,-39603.16050548015,4733.528369562535
45,0.46,0.990969010552791,0.4739610835874226,0.09242195615944482,-2163.027844031553,1012.8737834547727,-15255.80622473367,-4294.359968411288
46,0.47000000000000003,0.9911226444576431,0.5160466576847549,0.24867153993349855,-7007.902264879579,-182.14315989095124,-13448.102469184178,408.400172912343
